Ref_Date,GEO,PRO,PIP,STA,Vector,Coordinate,Value
2016/04,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,79181141.0
2016/05,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,80146298.0
2016/06,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,77105168.0
2016/07,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,81906763.0
2016/08,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,90452186.0
2016/09,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,86251656.0
2016/10,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,86614465.0
2016/11,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,90894447.0
2016/12,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,94523888.0
2017/01,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,96582728.0
2017/02,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,85819069.0
2017/03,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,93239266.0
2017/04,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,90774224.0
2017/05,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,92691462.0
2017/06,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,87762724.0
2017/07,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,91516043.0
2017/08,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,92699947.0
2017/09,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,90626634.0
2017/10,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,91592130.0
2017/11,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,83976296.0
2017/12,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,91188200.0
2018/01,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,96960242.0
2018/02,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,86235466.0
2016/03,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7416532.0
2016/04,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,6165266.0
2016/05,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,5412271.0
2016/06,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,6420686.0
2016/07,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,8060654.0
2016/08,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,8028636.0
2016/09,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,6958937.0
2016/10,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7074913.0
2016/11,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7138364.0
2016/12,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7034187.0
2017/01,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7936058.0
2017/02,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7393991.0
2017/03,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7816469.0
2017/04,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,6950229.0
2017/05,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,6889154.0
2017/06,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7157934.0
2017/07,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,8137662.0
2017/08,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,8411581.0
2017/09,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7372113.0
2017/10,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7159808.0
2017/11,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7322848.0
2017/12,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,8024129.0
2018/01,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,8026389.0
2018/02,Canada,Crude oil and equivalent products,Deliveries to refineries,Cubic metres,v107705260,1.1.5.1,7097739.0
2016/03,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,46648503.0
2016/04,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,38778290.0
2016/05,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,34042102.0
2016/06,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,40384831.0
2016/07,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,50699902.0
2016/08,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,50498515.0
2016/09,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,43770322.0
2016/10,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,44499788.0
2016/11,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,44898882.0
2016/12,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,44243629.0
2017/01,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,49916218.0
2017/02,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,46506725.0
2017/03,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,49164027.0
2017/04,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,43715550.0
2017/05,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,43331401.0
2017/06,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,45021973.0
2017/07,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,51184266.0
2017/08,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,52907162.0
2017/09,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,46369116.0
2017/10,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,45033760.0
2017/11,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,46059249.0
2017/12,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,50470167.0
2018/01,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,50484382.0
2018/02,Canada,Crude oil and equivalent products,Deliveries to refineries,Barrels,v107705261,1.1.5.2,44643359.0
2016/03,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2623151.0
2016/04,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2459538.0
2016/05,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2280239.0
2016/06,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2054908.0
2016/07,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2456048.0
2016/08,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2358892.0
2016/09,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2213925.0
2016/10,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2490657.0
2016/11,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,3038091.0
2016/12,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2850019.0
2017/01,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2850051.0
2017/02,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,3239176.0
2017/03,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,3273320.0
2017/04,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,3468335.0
2017/05,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,3212298.0
2017/06,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,2819299.0
2017/07,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,3370022.0
2017/08,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,3513313.0
2017/09,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,3468448.0
2017/10,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,3580341.0
2017/11,Canada,Crude oil and equivalent products,Other deliveries,Cubic metres,v107705262,1.1.6.1,4000966.0
